dataset	subject	session	run	method	image	mask	nominal_kernel_fwhm_mm	susan_spatial_sigma_mm	susan_masked_median	susan_brightness_threshold	fsl_version	classic_fwhm_x	classic_fwhm_y	classic_fwhm_z	classic_fwhm_combined	acf_a	acf_b	acf_c	acf_effective_fwhm	afni_version
rf1	10716	01	2	fsl_susan_kernel	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/smoothing-validation/sub-10716/ses-01/func/sub-10716_ses-01_task-sharedreward_run-2_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10716/ses-01/func/sub-10716_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	6	2.54796540086	8154.006348 	6115.504761	6.0.7.18	7.30607	7.66362	7.07505	7.34428	0.643622	4.11457	13.6518	11.0344	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10718	01	1	baseline	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10718/ses-01/func/sub-10718_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10718/ses-01/func/sub-10718_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						3.49102	3.69547	3.66926	3.61743	0.929844	2.07873	19.0314	5.0116	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10718	01	1	afni_total_target	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/harmonized/sub-10718/ses-01/func/sub-10718_ses-01_task-sharedreward_run-1_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10718/ses-01/func/sub-10718_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						5.83976	5.83829	5.78274	5.8202	0.644059	3.18448	10.8971	8.5973	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10718	01	1	fsl_susan_kernel	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/smoothing-validation/sub-10718/ses-01/func/sub-10718_ses-01_task-sharedreward_run-1_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10718/ses-01/func/sub-10718_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	6	2.54796540086	8613.905273 	6460.42895475	6.0.7.18	7.74557	7.95266	7.4617	7.71735	0.604077	4.31922	13.425	11.6499	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10718	01	2	baseline	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10718/ses-01/func/sub-10718_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10718/ses-01/func/sub-10718_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						3.46425	3.66393	3.62365	3.5829	0.932197	2.0657	18.7451	4.96199	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10718	01	2	afni_total_target	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/harmonized/sub-10718/ses-01/func/sub-10718_ses-01_task-sharedreward_run-2_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10718/ses-01/func/sub-10718_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						5.87166	5.86767	5.80578	5.84829	0.622059	3.22052	10.2579	8.67315	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10718	01	2	fsl_susan_kernel	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/smoothing-validation/sub-10718/ses-01/func/sub-10718_ses-01_task-sharedreward_run-2_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10718/ses-01/func/sub-10718_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	6	2.54796540086	8697.322266 	6522.9916995	6.0.7.18	7.76224	7.92763	7.43293	7.70484	0.614173	4.34121	13.4218	11.6454	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10720	01	1	baseline	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10720/ses-01/func/sub-10720_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10720/ses-01/func/sub-10720_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						3.17928	3.5607	3.73858	3.4849	0.969737	2.06717	16.76	4.81728	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10720	01	1	afni_total_target	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/harmonized/sub-10720/ses-01/func/sub-10720_ses-01_task-sharedreward_run-1_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10720/ses-01/func/sub-10720_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						5.84572	5.84313	5.85142	5.84676	0.740149	3.33408	10.2392	8.5132	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10720	01	1	fsl_susan_kernel	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/smoothing-validation/sub-10720/ses-01/func/sub-10720_ses-01_task-sharedreward_run-1_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10720/ses-01/func/sub-10720_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	6	2.54796540086	7383.396973 	5537.54772975	6.0.7.18	7.05109	7.34659	7.04737	7.14699	0.750885	4.10052	13.507	10.494	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10720	01	2	baseline	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10720/ses-01/func/sub-10720_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10720/ses-01/func/sub-10720_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						3.19749	3.58682	3.74067	3.50071	0.964353	2.06957	16.9709	4.84445	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10720	01	2	afni_total_target	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/harmonized/sub-10720/ses-01/func/sub-10720_ses-01_task-sharedreward_run-2_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10720/ses-01/func/sub-10720_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						5.81065	5.7984	5.81393	5.80766	0.742549	3.29021	10.9113	8.46789	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10720	01	2	fsl_susan_kernel	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/smoothing-validation/sub-10720/ses-01/func/sub-10720_ses-01_task-sharedreward_run-2_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10720/ses-01/func/sub-10720_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	6	2.54796540086	7446.786621 	5585.08996575	6.0.7.18	7.1431	7.43122	7.10306	7.22433	0.736295	4.11955	13.8365	10.6278	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10723	01	1	baseline	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10723/ses-01/func/sub-10723_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10723/ses-01/func/sub-10723_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						2.84042	3.11793	3.11395	3.02125	0.988411	1.81955	13.1329	4.08064	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10723	01	1	afni_total_target	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/harmonized/sub-10723/ses-01/func/sub-10723_ses-01_task-sharedreward_run-1_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10723/ses-01/func/sub-10723_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						5.87867	5.87288	5.86111	5.87088	0.777031	3.40946	9.8509	8.54126	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10723	01	1	fsl_susan_kernel	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/smoothing-validation/sub-10723/ses-01/func/sub-10723_ses-01_task-sharedreward_run-1_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10723/ses-01/func/sub-10723_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	6	2.54796540086	3591.068848 	2693.301636	6.0.7.18	6.47448	6.67824	6.48843	6.5464	0.808139	3.82808	12.4578	9.58202	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10723	01	2	baseline	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10723/ses-01/func/sub-10723_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10723/ses-01/func/sub-10723_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						2.85177	3.15829	3.26185	3.08562	0.983869	1.85553	13.3337	4.1849	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10723	01	2	afni_total_target	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/harmonized/sub-10723/ses-01/func/sub-10723_ses-01_task-sharedreward_run-2_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10723/ses-01/func/sub-10723_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						5.93783	5.93505	5.90244	5.92509	0.766017	3.39933	10.5079	8.6071	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10723	01	2	fsl_susan_kernel	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/smoothing-validation/sub-10723/ses-01/func/sub-10723_ses-01_task-sharedreward_run-2_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10723/ses-01/func/sub-10723_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	6	2.54796540086	3586.877686 	2690.1582645	6.0.7.18	6.5594	6.8137	6.61682	6.66242	0.796096	3.85132	13.5149	9.74137	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10741	01	1	baseline	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10741/ses-01/func/sub-10741_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10741/ses-01/func/sub-10741_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						3.14718	3.44087	3.35136	3.31083	0.979528	1.96442	16.0251	4.49052	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10741	01	1	afni_total_target	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/harmonized/sub-10741/ses-01/func/sub-10741_ses-01_task-sharedreward_run-1_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10741/ses-01/func/sub-10741_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						5.84717	5.85333	5.83988	5.84679	0.758693	3.3602	9.95235	8.48952	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10741	01	1	fsl_susan_kernel	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/smoothing-validation/sub-10741/ses-01/func/sub-10741_ses-01_task-sharedreward_run-1_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10741/ses-01/func/sub-10741_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	6	2.54796540086	3328.441406 	2496.3310545	6.0.7.18	6.89287	7.11444	6.80329	6.93564	0.791036	3.99117	13.7355	10.0975	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10741	01	2	baseline	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10741/ses-01/func/sub-10741_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10741/ses-01/func/sub-10741_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						3.09963	3.43745	3.28027	3.26953	0.975217	1.9325	15.7739	4.41791	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10741	01	2	afni_total_target	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/harmonized/sub-10741/ses-01/func/sub-10741_ses-01_task-sharedreward_run-2_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10741/ses-01/func/sub-10741_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						5.84385	5.84063	5.80601	5.83014	0.73473	3.32814	9.79463	8.46983	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10741	01	2	fsl_susan_kernel	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/smoothing-validation/sub-10741/ses-01/func/sub-10741_ses-01_task-sharedreward_run-2_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10741/ses-01/func/sub-10741_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	6	2.54796540086	3293.428467 	2470.07135025	6.0.7.18	6.93154	7.15124	6.80299	6.96044	0.756669	3.9927	12.7014	10.1571	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10748	01	1	baseline	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10748/ses-01/func/sub-10748_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10748/ses-01/func/sub-10748_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						3.09112	3.47688	3.43072	3.32836	0.963468	1.96711	15.9208	4.55284	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10748	01	1	afni_total_target	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/harmonized/sub-10748/ses-01/func/sub-10748_ses-01_task-sharedreward_run-1_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10748/ses-01/func/sub-10748_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						5.81983	5.82774	5.82514	5.82423	0.70023	3.3392	9.52668	8.56254	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10748	01	1	fsl_susan_kernel	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/smoothing-validation/sub-10748/ses-01/func/sub-10748_ses-01_task-sharedreward_run-1_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10748/ses-01/func/sub-10748_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	6	2.54796540086	7443.282227 	5582.46167025	6.0.7.18	7.0474	7.36194	7.03627	7.14696	0.716406	4.12972	12.3968	10.5875	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10748	01	2	baseline	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10748/ses-01/func/sub-10748_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10748/ses-01/func/sub-10748_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						3.11437	3.49241	3.4183	3.33761	0.955791	1.96238	16.0985	4.56704	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10748	01	2	afni_total_target	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/harmonized/sub-10748/ses-01/func/sub-10748_ses-01_task-sharedreward_run-2_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10748/ses-01/func/sub-10748_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						5.99442	5.98325	5.97494	5.9842	0.678208	3.38915	10.4018	8.85726	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10748	01	2	fsl_susan_kernel	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/smoothing-validation/sub-10748/ses-01/func/sub-10748_ses-01_task-sharedreward_run-2_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10748/ses-01/func/sub-10748_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	6	2.54796540086	7560.336914 	5670.2526855	6.0.7.18	7.25433	7.54931	7.17849	7.32564	0.680782	4.19337	12.8424	10.9277	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10767	01	1	baseline	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10767/ses-01/func/sub-10767_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10767/ses-01/func/sub-10767_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						3.14029	3.4496	3.47108	3.35018	0.93863	1.95072	16.0106	4.59543	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10767	01	1	afni_total_target	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/harmonized/sub-10767/ses-01/func/sub-10767_ses-01_task-sharedreward_run-1_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10767/ses-01/func/sub-10767_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						5.82282	5.83089	5.79007	5.81457	0.632392	3.24455	9.61997	8.58332	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10767	01	1	fsl_susan_kernel	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/smoothing-validation/sub-10767/ses-01/func/sub-10767_ses-01_task-sharedreward_run-1_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10767/ses-01/func/sub-10767_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	6	2.54796540086	8134.158691 	6100.61901825	6.0.7.18	7.42357	7.65571	7.33807	7.47125	0.611411	4.31038	11.534	11.2448	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10767	01	2	baseline	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10767/ses-01/func/sub-10767_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10767/ses-01/func/sub-10767_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						3.13268	3.44401	3.51484	3.35966	0.935049	1.95427	15.9446	4.61791	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10767	01	2	afni_total_target	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/harmonized/sub-10767/ses-01/func/sub-10767_ses-01_task-sharedreward_run-2_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10767/ses-01/func/sub-10767_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						5.91361	5.90619	5.86727	5.89565	0.631478	3.27023	10.3089	8.75344	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10767	01	2	fsl_susan_kernel	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/smoothing-validation/sub-10767/ses-01/func/sub-10767_ses-01_task-sharedreward_run-2_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10767/ses-01/func/sub-10767_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	6	2.54796540086	8241.915039 	6181.43627925	6.0.7.18	7.50902	7.72062	7.44367	7.55685	0.595739	4.32093	12.1513	11.4546	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10770	01	1	baseline	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10770/ses-01/func/sub-10770_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10770/ses-01/func/sub-10770_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						3.14326	3.13763	3.16239	3.14774	0.968465	1.85926	14.5819	4.24487	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10770	01	1	afni_total_target	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/harmonized/sub-10770/ses-01/func/sub-10770_ses-01_task-sharedreward_run-1_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10770/ses-01/func/sub-10770_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						5.92503	5.8934	5.87107	5.89646	0.688539	3.44586	8.74631	8.71008	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10770	01	1	fsl_susan_kernel	/ZPOOL/data/projects/rf1-sra-sharedreward/derivatives/smoothing-validation/sub-10770/ses-01/func/sub-10770_ses-01_task-sharedreward_run-1_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10770/ses-01/func/sub-10770_ses-01_task-sharedreward_run-1_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	6	2.54796540086	8841.384766 	6631.0385745	6.0.7.18	7.10976	7.28065	6.8541	7.07933	0.72742	4.15118	10.964	10.4258	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
rf1	10770	01	2	baseline	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10770/ses-01/func/sub-10770_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep/sub-10770/ses-01/func/sub-10770_ses-01_task-sharedreward_run-2_part-mag_space-MNI152NLin6Asym_desc-brain_mask.nii.gz						3.23597	3.15254	3.1891	3.19236	0.966563	1.88126	15.1017	4.30931	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
