sub,trial,partner,trait,ran,order,response
11005,5,2,1,1,4,-5
11005,6,1,1,1,5,-5
11007,1,3,0,1,0,5
11007,2,2,0,1,1,0
11007,3,1,0,1,2,0
11007,4,3,1,1,3,-2
11007,5,2,1,1,4,-1
11007,6,1,1,1,5,0
11012,1,3,0,1,0,5
11012,2,2,0,1,1,5
11012,3,1,0,1,2,5
11012,4,3,1,1,3,-5
11012,5,2,1,1,4,-2
11012,6,1,1,1,5,-5
11016,1,3,0,1,0,5
11016,2,2,0,1,1,4
11016,3,1,0,1,2,1
11016,4,3,1,1,3,-3
11016,5,2,1,1,4,-2
11016,6,1,1,1,5,-1
11021,1,3,0,1,0,5
11021,2,2,0,1,1,3
11021,3,1,0,1,2,5
11021,4,3,1,1,3,-4
11021,5,2,1,1,4,-2
11021,6,1,1,1,5,0
11030,1,3,0,1,0,2
11030,2,2,0,1,1,1
11030,3,1,0,1,2,2
11030,4,3,1,1,3,-3
11030,5,2,1,1,4,-2
11030,6,1,1,1,5,-1
11031,1,3,0,1,0,5
11031,2,2,0,1,1,3
11031,3,1,0,1,2,2
11031,4,3,1,1,3,-4
11031,5,2,1,1,4,-4
11031,6,1,1,1,5,-5
11036,1,3,0,1,0,5
11036,2,2,0,1,1,2
11036,3,1,0,1,2,2
11036,4,3,1,1,3,2
11036,5,2,1,1,4,-3
11036,6,1,1,1,5,-2
11039,1,3,0,1,0,5
11039,2,2,0,1,1,4
11039,3,1,0,1,2,-5
11039,4,3,1,1,3,-5
11039,5,2,1,1,4,-5
11039,6,1,1,1,5,-5
11042,1,3,0,1,0,4
11042,2,2,0,1,1,0
11042,3,1,0,1,2,0
11042,4,3,1,1,3,-3
11042,5,2,1,1,4,0
11042,6,1,1,1,5,0
11053,1,3,0,1,0,5
11053,2,2,0,1,1,3
11053,3,1,0,1,2,0
11053,4,3,1,1,3,-5
11053,5,2,1,1,4,-2
11053,6,1,1,1,5,-1
11060,1,3,0,1,0,5
11060,2,2,0,1,1,0
11060,3,1,0,1,2,0
11060,4,3,1,1,3,-3
11060,5,2,1,1,4,0
11060,6,1,1,1,5,0
11063,1,3,0,1,0,5
11063,2,2,0,1,1,3
11063,3,1,0,1,2,3
11063,4,3,1,1,3,-4
11063,5,2,1,1,4,-2
11063,6,1,1,1,5,-1
11064,1,3,0,1,0,5
11064,2,2,0,1,1,0
11064,3,1,0,1,2,5
11064,4,3,1,1,3,-2
11064,5,2,1,1,4,-4
11064,6,1,1,1,5,-5
11068,1,3,0,1,0,4
11068,2,2,0,1,1,4
11068,3,1,0,1,2,0
11068,4,3,1,1,3,4
11068,5,2,1,1,4,0
11068,6,1,1,1,5,0
11071,1,3,0,1,0,0
11071,2,2,0,1,1,0
11071,3,1,0,1,2,0
11071,4,3,1,1,3,0
11071,5,2,1,1,4,0
11071,6,1,1,1,5,0
11072,1,3,0,1,0,5
11072,2,2,0,1,1,0
11072,3,1,0,1,2,0
11072,4,3,1,1,3,0
11072,5,2,1,1,4,0
11072,6,1,1,1,5,0
