sub,trial,partner,trait,ran,order,response,age
10608,5,2,1,1,4,0,29.0
10608,6,1,1,1,5,0,29.0
10617,1,3,0,1,0,5,73.0
10617,2,2,0,1,1,5,73.0
10617,3,1,0,1,2,0,73.0
10617,4,3,1,1,3,-5,73.0
10617,5,2,1,1,4,-5,73.0
10617,6,1,1,1,5,0,73.0
10636,1,3,0,1,0,5,27.0
10636,2,2,0,1,1,3,27.0
10636,3,1,0,1,2,0,27.0
10636,4,3,1,1,3,-5,27.0
10636,5,2,1,1,4,-1,27.0
10636,6,1,1,1,5,0,27.0
10638,1,3,0,1,0,5,72.0
10638,2,2,0,1,1,5,72.0
10638,3,1,0,1,2,3,72.0
10638,4,3,1,1,3,-5,72.0
10638,5,2,1,1,4,-3,72.0
10638,6,1,1,1,5,-3,72.0
10640,1,3,0,1,0,5,31.0
10640,2,2,0,1,1,0,31.0
10640,3,1,0,1,2,0,31.0
10640,4,3,1,1,3,-5,31.0
10640,5,2,1,1,4,-5,31.0
10640,6,1,1,1,5,-5,31.0
10641,1,3,0,1,0,5,44.0
10641,2,2,0,1,1,1,44.0
10641,3,1,0,1,2,4,44.0
10641,4,3,1,1,3,-2,44.0
10641,5,2,1,1,4,-5,44.0
10641,6,1,1,1,5,-3,44.0
10642,1,3,0,1,0,5,32.0
10642,2,2,0,1,1,2,32.0
10642,3,1,0,1,2,-1,32.0
10642,4,3,1,1,3,-5,32.0
10642,5,2,1,1,4,0,32.0
10642,6,1,1,1,5,0,32.0
10644,1,3,0,1,0,5,69.0
10644,2,2,0,1,1,0,69.0
10644,3,1,0,1,2,0,69.0
10644,4,3,1,1,3,-5,69.0
10644,5,2,1,1,4,0,69.0
10644,6,1,1,1,5,0,69.0
10647,1,3,0,1,0,-2,24.0
10647,2,2,0,1,1,0,24.0
10647,3,1,0,1,2,-2,24.0
10647,4,3,1,1,3,-4,24.0
10647,5,2,1,1,4,-1,24.0
10647,6,1,1,1,5,0,24.0
10649,1,3,0,1,0,5,63.0
10649,2,2,0,1,1,5,63.0
10649,3,1,0,1,2,5,63.0
10649,4,3,1,1,3,-4,63.0
10649,5,2,1,1,4,-4,63.0
10649,6,1,1,1,5,-4,63.0
10652,1,3,0,1,0,5,70.0
10652,2,2,0,1,1,0,70.0
10652,3,1,0,1,2,0,70.0
10652,4,3,1,1,3,0,70.0
10652,5,2,1,1,4,0,70.0
10652,6,1,1,1,5,-2,70.0
10656,1,3,0,1,0,2,21.0
10656,2,2,0,1,1,1,21.0
10656,3,1,0,1,2,4,21.0
10656,4,3,1,1,3,-1,21.0
10656,5,2,1,1,4,0,21.0
10656,6,1,1,1,5,0,21.0
10657,1,3,0,1,0,5,59.0
10657,2,2,0,1,1,5,59.0
10657,3,1,0,1,2,0,59.0
10657,4,3,1,1,3,-5,59.0
10657,5,2,1,1,4,-3,59.0
10657,6,1,1,1,5,0,59.0
10659,1,3,0,1,0,5,
10659,2,2,0,1,1,5,
10659,3,1,0,1,2,5,
10659,4,3,1,1,3,-5,
10659,5,2,1,1,4,-5,
10659,6,1,1,1,5,-5,
10661,1,3,0,1,0,5,50.0
10661,2,2,0,1,1,5,50.0
10661,3,1,0,1,2,5,50.0
10661,4,3,1,1,3,-5,50.0
10661,5,2,1,1,4,-5,50.0
10661,6,1,1,1,5,-5,50.0
10663,1,3,0,1,0,4,22.0
10663,2,2,0,1,1,3,22.0
10663,3,1,0,1,2,2,22.0
10663,4,3,1,1,3,-5,22.0
10663,5,2,1,1,4,-3,22.0
10663,6,1,1,1,5,-3,22.0
10668,1,3,0,1,0,5,37.0
10668,2,2,0,1,1,5,37.0
10668,3,1,0,1,2,5,37.0
10668,4,3,1,1,3,-5,37.0
10668,5,2,1,1,4,-5,37.0
10668,6,1,1,1,5,-5,37.0
10673,1,3,0,1,0,3,48.0
10673,2,2,0,1,1,1,48.0
10673,3,1,0,1,2,0,48.0
10673,4,3,1,1,3,-5,48.0
10673,5,2,1,1,4,-1,48.0
10673,6,1,1,1,5,0,48.0
10674,1,3,0,1,0,5,33.0
10674,2,2,0,1,1,4,33.0
10674,3,1,0,1,2,4,33.0
10674,4,3,1,1,3,-1,33.0
10674,5,2,1,1,4,-1,33.0
10674,6,1,1,1,5,-1,33.0
10677,1,3,0,1,0,1,33.0
10677,2,2,0,1,1,0,33.0
10677,3,1,0,1,2,0,33.0
10677,4,3,1,1,3,-1,33.0
10677,5,2,1,1,4,0,33.0
10677,6,1,1,1,5,0,33.0
10685,1,3,0,1,0,5,34.0
10685,2,2,0,1,1,0,34.0
10685,3,1,0,1,2,0,34.0
10685,4,3,1,1,3,0,34.0
10685,5,2,1,1,4,0,34.0
10685,6,1,1,1,5,0,34.0
10690,1,3,0,1,0,5,56.0
10690,2,2,0,1,1,5,56.0
10690,3,1,0,1,2,5,56.0
10690,4,3,1,1,3,-1,56.0
10690,5,2,1,1,4,-1,56.0
10690,6,1,1,1,5,-1,56.0
10691,1,3,0,1,0,5,58.0
10691,2,2,0,1,1,3,58.0
10691,3,1,0,1,2,4,58.0
10691,4,3,1,1,3,-2,58.0
10691,5,2,1,1,4,-2,58.0
10691,6,1,1,1,5,-4,58.0
10701,1,3,0,1,0,5,27.0
10701,2,2,0,1,1,4,27.0
10701,3,1,0,1,2,3,27.0
10701,4,3,1,1,3,-5,27.0
10701,5,2,1,1,4,-4,27.0
10701,6,1,1,1,5,-1,27.0
10713,1,3,0,1,0,0,71.0
10713,2,2,0,1,1,0,71.0
10713,3,1,0,1,2,5,71.0
10713,4,3,1,1,3,-5,71.0
10713,5,2,1,1,4,0,71.0
10713,6,1,1,1,5,-5,71.0
10716,1,3,0,1,0,5,69.0
10716,2,2,0,1,1,0,69.0
10716,3,1,0,1,2,0,69.0
10716,4,3,1,1,3,-5,69.0
10716,5,2,1,1,4,0,69.0
10716,6,1,1,1,5,0,69.0
10718,1,3,0,1,0,3,28.0
10718,2,2,0,1,1,0,28.0
10718,3,1,0,1,2,0,28.0
10718,4,3,1,1,3,0,28.0
10718,5,2,1,1,4,3,28.0
10718,6,1,1,1,5,-1,28.0
10720,1,3,0,1,0,4,33.0
